AnnouncementId,Language,Title,Message
1,nl,Bondsparlement,Om 20u30 verzamelen in de toneelzaal
1,fr,Parlement fédéral,à 20h30 rassemblement dans la salle de théâtre
1,en,Federal Parliament,At 8h30 pm gather in the drama hall
2,nl,KnaJo Quiz vergadering,Vragen voorbereiden aub
2,fr,KnaJo Quiz réunion,Préparer les questions s'il vous plaît
2,en,KnaJo Quiz meeting,Prepare questions please
3,nl,Zweedse Omloop,Stipt 10u aan de vaart!
3,fr,Omloop suédois,10 heures au canal!
3,en,Swedish run,Punctual 10am at the canal!
4,nl,Kampthema voorstelling,niet voorbereid = streepje
4,fr,Propositions de camps à thème,pas de préparation = précipitation
4,en,Camp theme performance,not prepared = dash
